,title,subtitle,date_published,url,is_paid
0,"
							„Überwachung bei Impfstoffen funktioniert“
			        ","
						Die Frankfurter Virologin Ciesek hat die Impfkommission mit Blick auf ihre geänderte Empfehlung des Produkts von Astra-Zeneca verteidigt. Den Zeitpunkt, auch in Hessen das „Tübinger Modell“ auszuprobieren, nennt sie „unglücklich“.
					",2021-03-31T14:40:15+0200,https://www.faz.net/suche/corona-virologin-ciesek-zu-streit-um-astrazeneca-impfstoff-17272549.html,false
1,"
							Verkündet Macron härtere Corona-Beschränkungen?
			        ","
						Biontech-Impfstoff zeigt hohe Wirksamkeit bei Jugendlichen +++ Astra-Zeneca bekommt neuen Namen +++ Lehrerverband: Katastrophaler Rückschlag für Lehrerimpfung +++ Alle Entwicklungen im Liveblog.
					",2021-03-31T14:22:52+0200,https://www.faz.net/suche/corona-liveticker-verkuendet-macron-haertere-corona-beschraenkungen-17035419.html,false
2,"
							Hessen setzt Impfungen mit Astra-Zeneca teilweise aus
			        ","
						Wer unter 60 ist, soll in Hessen nur noch in Ausnahmefällen mit dem Astra-Zeneca-Produkt geimpft werden. Termine in den nächsten zwei Wochen bleiben bestehen, die Personen bekommen andere Impfstoffe.
					",2021-03-31T14:04:34+0200,https://www.faz.net/suche/hessen-setzt-corona-impfungen-mit-astrazeneca-teilweise-aus-17272472.html,false
3,"
							Österreich erwägt Beschaffung von Sputnik V
			        ","
						Wien erwägt eine Million Dosen Sputnik V zu kaufen. Eine Entscheidung sei jedoch noch nicht getroffen. Damit sollten Lieferengpässe bei den von der EU bestellten Vakzinen ausgeglichen werden.
					",2021-03-31T13:35:40+0200,https://www.faz.net/suche/oesterreich-erwaegt-beschaffung-von-corona-impfstoff-sputnik-v-17272473.html,false
4,"
							Corona-Kennziffer in Hessen örtlich über der Marke 800
			        ","
						Alsfeld kann es kaum abwarten, das Tübinger Modell zu erproben. Hessen muss seine Impfstrategie nach den neuen Empfehlungen zum Astra-Zeneca-Produkt anpassen. Die Landes-Inzidenz sinkt leicht.
					",2021-03-31T13:35:00+0200,https://www.faz.net/suche/hessen-muss-corona-impfkampagne-fuer-astrazeneca-impfung-anpassen-17272128.html,false
5,"
							„Der Impf-Egoismus wird sich rächen“
			        ","
						Die Pandemie ist bitterer Lernstoff, auch in Afrika. Ein Gespräch mit Tankred Stöbe von Ärzte ohne Grenzen, der gerade in Sierra Leone unterwegs ist.
					",2021-03-31T11:27:31+0200,https://www.faz.net/suche/notfallmediziner-stoebe-im-gespraech-ueber-pandemie-in-afrika-17269899.html,true
6,"
							Amerika und Deutschland investieren am meisten in Impfstoffe
			        ","
						In Deutschland kommt die Impfkampagne nicht voran. Die Entwicklung der Impfstoffe von Biontech, Curevac und Co. wurde mit staatlichem Geld vorangebracht. Deutschland gab nach den Vereinigten Staaten dafür am meisten aus. 
					",2021-03-31T08:01:59+0200,https://www.faz.net/suche/usa-und-deutschland-investieren-am-meisten-in-corona-impfstoffe-17271973.html,false
7,"
							„Dass reagiert wird, sollte vertrauensbildend sein“
			        ","
						Zuerst sollten den Astra-Zeneca-Impfstoff nur Menschen unter 65 bekommen, nun möglichst nur noch solche über 60. Mehrere Politiker warnen vor steigender Verwirrung und Verunsicherung. Die Kanzlerin sagt, sie würde sich mit dem Vakzin impfen lassen.
					",2021-03-31T06:22:21+0200,https://www.faz.net/suche/astrazeneca-impfstoff-ab-60-merkel-wuerde-sich-damit-impfen-lassen-17271904.html,false
8,"
							Menschen über 60 könnten schneller geimpft werden
			        ","
						Die Entscheidung von Bund und Ländern zu Astra-Zeneca hat Auswirkungen auf die Impfreihenfolge. Auslandsreisen aus Deutschland bleiben erlaubt. Und im Mordfall Lübcke sollen offene Fragen geklärt werden. Der Newsletter für Deutschland.
					",2021-03-31T06:13:07+0200,https://www.faz.net/suche/f-a-z-fruehdenker-menschen-ueber-60-koennten-schneller-geimpft-werden-17271848.html,false
9,"
							Guten Morgen!
			        ","
",2021-03-31T06:09:07+0200,https://www.faz.net/suche/guten-morgen-17238753.html,false
