,title,subtitle,date_published,url,is_paid
0,"
							Verkündet Macron härtere Corona-Beschränkungen?
			        ","
						Biontech-Impfstoff zeigt hohe Wirksamkeit bei Jugendlichen +++ Astra-Zeneca bekommt neuen Namen +++ Lehrerverband: Katastrophaler Rückschlag für Lehrerimpfung +++ Alle Entwicklungen im Liveblog.
					",2021-03-31T14:22:52+0200,https://www.faz.net/suche/corona-liveticker-verkuendet-macron-haertere-corona-beschraenkungen-17035419.html,false
1,"
							Hessen setzt Impfungen mit Astra-Zeneca teilweise aus
			        ","
						Wer unter 60 ist, soll in Hessen nur noch in Ausnahmefällen mit dem Astra-Zeneca-Produkt geimpft werden. Termine in den nächsten zwei Wochen bleiben bestehen, die Personen bekommen andere Impfstoffe.
					",2021-03-31T14:04:34+0200,https://www.faz.net/suche/hessen-setzt-corona-impfungen-mit-astrazeneca-teilweise-aus-17272472.html,false
2,"
							Biontech-Impfstoff hat hohe Wirksamkeit bei 12- bis 15-Jährigen
			        ","
						Eine Nachricht, die Mut macht: Der Impfstoff von Biontech und Pfizer ist einer ersten Studie zufolge bei Jugendlichen mit 100 Prozent noch wirksamer als bei Erwachsenen. Noch sind die Ergebnisse aber nicht in einem Fachjournal veröffentlicht. 
					",2021-03-31T14:02:50+0200,https://www.faz.net/suche/biontech-impfstoff-hat-hohe-wirksamkeit-bei-12-bis-15-jaehrigen-17272527.html,false
3,"
							Corona-Kennziffer in Hessen örtlich über der Marke 800
			        ","
						Alsfeld kann es kaum abwarten, das Tübinger Modell zu erproben. Hessen muss seine Impfstrategie nach den neuen Empfehlungen zum Astra-Zeneca-Produkt anpassen. Die Landes-Inzidenz sinkt leicht.
					",2021-03-31T13:35:00+0200,https://www.faz.net/suche/hessen-muss-corona-impfkampagne-fuer-astrazeneca-impfung-anpassen-17272128.html,false
4,"
							So entsteht der Corona-Impfstoff
			        ","
						Im hessischen Marburg produziert Biontech seit kurzem seinen weltweit begehrten Corona-Impfstoff. Bis zu eine Milliarde Dosen seines Vakzins will das Pharmaunternehmen pro Jahr in seinem neuen Werk herstellen. Der Prozess ist äußerst anspruchsvoll. 
					",2021-03-31T13:17:42+0200,https://www.faz.net/suche/biontech-produktion-in-marburg-so-entsteht-der-corona-impfstoff-17272588.html,false
5,"
							„Der Impf-Egoismus wird sich rächen“
			        ","
						Die Pandemie ist bitterer Lernstoff, auch in Afrika. Ein Gespräch mit Tankred Stöbe von Ärzte ohne Grenzen, der gerade in Sierra Leone unterwegs ist.
					",2021-03-31T11:27:31+0200,https://www.faz.net/suche/notfallmediziner-stoebe-im-gespraech-ueber-pandemie-in-afrika-17269899.html,true
6,"
							Österreich droht mit Impfstoff-Blockade
			        ","
						Im Streit über die Verteilung der Covid-Impfstoffe in der EU will Wien den Ankauf zusätzlicher Dosen von Biontech verhindern, wenn Österreich nicht mehr davon bekommt als bisher vorgesehen. Die Drohung löst Empörung aus.
					",2021-03-31T10:43:46+0200,https://www.faz.net/suche/corona-impfstoff-in-der-eu-oesterreich-droht-mit-bestell-blockade-17272143.html,false
7,"
							Amerika und Deutschland investieren am meisten in Impfstoffe
			        ","
						In Deutschland kommt die Impfkampagne nicht voran. Die Entwicklung der Impfstoffe von Biontech, Curevac und Co. wurde mit staatlichem Geld vorangebracht. Deutschland gab nach den Vereinigten Staaten dafür am meisten aus. 
					",2021-03-31T08:01:59+0200,https://www.faz.net/suche/usa-und-deutschland-investieren-am-meisten-in-corona-impfstoffe-17271973.html,false
8,"
							Alle fünf Tage acht Millionen Impfdosen
			        ","
						Biontech hat in Mittelhessen eines der größten Impfstoffwerke der Welt in Betrieb genommen. Die Wochenproduktion passt in einen Kofferraum. Ein Besuch bei den Machern des Impfstoffs.
					",2021-03-31T07:30:13+0200,https://www.faz.net/suche/corona-impfstoff-von-biontech-eine-milliarde-dosen-aus-marburg-17271637.html,true
9,"
							Astra-Zeneca in der Regel nur noch für Menschen über 60
			        ","
						Der Impfstoff soll von Mittwoch an überwiegend bei Menschen über 60 verwendet werden. Gesundheitsminister Spahn: „Ohne Frage ein Rückschlag.“
					",2021-03-30T22:46:21+0200,https://www.faz.net/suche/impfstoff-von-astrazeneca-ab-mittwoch-nur-noch-fuer-menschen-ab-60-17271667.html,false
10,"
							Wie es mit dem Impfen jetzt weitergeht
			        ","
						Zuerst gab es eine Impfempfehlung des Astra-Zeneca-Vakzins nur für Jüngere. Jetzt sollen in der Regel nur noch die Über-60-Jährigen diesen Impfstoff erhalten. Was hat es mit der Empfehlung auf sich? Die wichtigsten Fragen und Antworten.

					",2021-03-30T22:17:46+0200,https://www.faz.net/suche/neue-astrazeneca-regeln-wie-es-mit-der-corona-impfung-weitergeht-17271808.html,false
11,"
							Doch größere Risiken?
			        ","
						Bei Astra-Zeneca ist der Wurm drin: Weil es neue Fälle von Hirnvenenthrombosen gibt, sollen nur noch ältere Menschen mit dem Vakzin geimpft werden. Das Vertrauen wird auf die Probe gestellt.

					",2021-03-30T18:05:51+0200,https://www.faz.net/suche/astrazeneca-nebenwirkungen-neue-faelle-von-thrombosen-im-gehirn-17270995.html,false
