,title,subtitle,date_published,url,is_paid
0,"
							Amerika und Deutschland investieren am meisten in Impfstoffe
			        ","
						In Deutschland kommt die Impfkampagne nicht voran. Die Entwicklung der Impfstoffe von Biontech, Curevac und Co. wurde mit staatlichem Geld vorangebracht. Deutschland gab nach den Vereinigten Staaten dafür am meisten aus. 
					",2021-03-31T08:01:59+0200,https://www.faz.net/suche/usa-und-deutschland-investieren-am-meisten-in-corona-impfstoffe-17271973.html,false
1,"
							Wenn sich das Universum verwählt
			        ","
						Geschichten erzählen mit dem Telefon: Bei der außergewöhnlichen Serie „Calls“ verschwimmen Hören und Sehen. Wir erleben Lausch-Fernsehen, das völlig aus der Zeit gefallen scheint.
					",2021-03-31T06:58:28+0200,https://www.faz.net/suche/wenn-sich-das-universum-verwaehlt-die-serie-calls-bei-appletv-17269262.html,false
2,"
							Astra-Zeneca in der Regel nur noch für Menschen über 60
			        ","
						Der Impfstoff soll von Mittwoch an überwiegend bei Menschen über 60 verwendet werden. Gesundheitsminister Spahn: „Ohne Frage ein Rückschlag.“
					",2021-03-30T22:46:21+0200,https://www.faz.net/suche/impfstoff-von-astrazeneca-ab-mittwoch-nur-noch-fuer-menschen-ab-60-17271667.html,false
3,"
							Es war einmal eine Sehnsucht
			        ","
						Wie wird es nach der Pandemie in den Clubs aussehen? Wie viel Freiheit, Unvernunft und Vielfalt wird bleiben? Und wieso brauchen gerade kleine Städte solche Orte?
					",2021-03-30T14:43:12+0200,https://www.faz.net/suche/dimitri-hegemann-ueber-die-zukunft-des-nachtlebens-17264592.html,false
4,"
							Ein großer Vertrag zur Bekämpfung von Pandemien
			        ","
						Covid-19 wird nicht die letzte Pandemie bleiben. Deswegen fordern mehr als zwanzig Staats- und Regierungschefs in einem gemeinsamen Aufruf, jetzt die Grundlage für eine bessere Vorbeugung und Bekämpfung von Seuchen zu schaffen. Ein Gastbeitrag.
					",2021-03-29T19:26:31+0200,https://www.faz.net/suche/nach-corona-vertrag-zur-bekaempfung-von-pandemien-gefordert-17269543.html,false
5,"
							Merkel drängt Länderchefs zum Umsetzen der Notbremse
			        ","
						Die Kanzlerin nennt den jüngsten Bund-Länder-Gipfel eine „Zäsur“ – und fordert konsequentes Handeln. Die Bundesregierung will einen Puffer für Impfstoff-Produktionen. Und die „Ever Given“, das im Suezkanal havarierte Schiff, ist teilweise freigeschleppt. Der Newsletter für Deutschland.
					",2021-03-29T06:45:31+0200,https://www.faz.net/suche/f-a-z-fruehdenker-merkel-draengt-laender-zum-umsetzen-der-notbremse-17268312.html,false
6,"
							Reservefabriken für das nächste Virus
			        ","
						Zumindest in Zukunft soll es nicht mehr an Produktionskapazitäten für Impfstoffe mangeln. Die Bundesregierung will erreichen, dass die Pharmaindustrie einen Puffer für Milliarden von Impfdosen aufbaut.
					",2021-03-28T19:11:38+0200,https://www.faz.net/suche/impfstoff-produktion-fuer-corona-impfungen-und-pandemien-staerken-17267413.html,true
7,"
							Was taugt die Biontech-Aktie?
			        ","
						Auf Unternehmen wie Biontech und Moderna ruhen die Hoffnungen der Welt. Dafür sind die Aktien noch relativ günstig.
					",2021-03-28T16:35:39+0200,https://www.faz.net/suche/impfstoffe-fuers-depot-was-taugt-die-biontech-aktie-17263993.html,true
8,"
							„Zehn, 14 Tage mindestens richtiges Runterfahren“
			        ","
						Für den Gesundheitsminister ist ein abermaliger, harter Lockdown mittlerweile wieder unvermeidlich. Erst nach dem Brechen der dritten Welle dürfe man über Öffnungsschritte reden.
					",2021-03-27T21:20:07+0100,https://www.faz.net/suche/spahn-zehn-14-tage-mindestens-richtiges-runterfahren-17267008.html,false
9,"
							Erste Lieferung von Johnson & Johnson Mitte April erwartet
			        ","
						Gesundheitsminister Jens Spahn zufolge soll zuerst „eine kleine“ Lieferung des ankommen. Der Impfstoff des amerikanischen Pharmakonzerns muss im Gegensatz zu vielen anderen nur ein Mal gespritzt werden.
					",2021-03-27T16:57:28+0100,https://www.faz.net/suche/erste-lieferung-von-johnson-johnson-mitte-april-erwartet-17266845.html,false
