,title,subtitle,date_published,url,is_paid
0,"
							Bayern-Trainer Flick macht eine deutliche Ansage
			        ","
						Nach dem Pflichtsieg im DFB-Pokal geht es für den FC Bayern direkt in der Fußball-Bundesliga weiter. Davor aber richtet Trainer Hansi Flick klare Worte an seine Stars, die nicht allen gefallen dürften.
					",2020-10-16T12:55:44+0200,https://www.faz.net/premiumContent?contentId=1.7004972,false
1,"
							Wer steigt in den Euro Stoxx 50 auf?
			        ","
						Infineon und RWE haben Chancen, in den Leitindex für die Eurozone nachzurücken. Beide weisen ein attraktives technisches Gesamtbild auf, Platz wird aber nur für eine Aktie sein. Welche?
					",2020-10-16T12:48:38+0200,https://www.faz.net/suche/rwe-oder-infineon-wer-rueckt-in-den-euro-stoxx-50-auf-17003558.html,true
2,"
							„Menschen benutzen Teams anstelle von gar nichts“
			        ","
						Slack und Microsoft Teams wetteifern um die Vorherrschaft in den Büros der Welt. Auch wenn Teams für viele kostenlos sei, würden die führenden Unternehmen lieber das teurere Slack nutzen, behauptet Stewart Butterfield im F.A.Z.-Gespräch.  
					",2020-10-16T12:43:20+0200,https://www.faz.net/suche/slack-chef-stewart-butterfield-sieht-sich-gut-geruestet-gegen-teams-17003826.html,true
3,"
							Corona-Politik vor Gericht
			        ","
						In Berlin erklärt ein Gericht die Sperrstunde für rechtswidrig. Andernorts werden Beherbergungsverbote aufgehoben oder bestätigt. Wie begründen die Richter ihre Entscheidungen?
					",2020-10-16T12:26:53+0200,https://www.faz.net/premiumContent?contentId=1.7004872,false
4,"
							Kampf gegen Pandemie nutzt auch der Börse
			        ","
						Kursfristig verdirbt ein schärferer Corona-Kurs der Politik die Kauflaune an der Börse. Doch Anleger sollten den Staat nicht als Spielverderber sehen, denn wenn die Infektionen explosionsartig steigen, könnten die Kurse langfristig noch tiefer fallen.
					",2020-10-16T12:25:05+0200,https://www.faz.net/premiumContent?contentId=1.7003760,false
5,"
							Tschechien ruft Mediziner aus dem Ausland zurück
			        ","
						Wegen der Corona-Pandemie hat Tschechien seine im Ausland arbeitenden Ärzte gebeten, in ihre Heimat zurückzukehren. „Wir sind dankbar für jede helfende Hand“, erklärt der Gesundheitsminister. 

					",2020-10-16T12:20:17+0200,https://www.faz.net/premiumContent?contentId=1.7004848,false
6,"
							Thyssen-Krupp-Aktie schießt um bis zu 23 Prozent in die Höhe
			        ","
						Der kriselnde Konzern sorgt für einen turbulenten Börsentag. Anleger hoffen auf eine Übernahme der Stahlsparte durch einen Konkurrenten, während Arbeitnehmer lieber den Staat an Bord holen wollen. Die europäischen Aktienmärkte erholen sich derweil leicht vom düsteren Donnerstag. 

					",2020-10-16T11:55:22+0200,https://www.faz.net/premiumContent?contentId=1.7004855,false
7,"
							Mein Bruder, der Trump-Wähler
			        ","
						Wir sehen uns bei Hochzeiten und Trauerfeiern, telefonieren an Geburtstagen und Feiertagen. Wie kommt es, dass Geschwister, die einmal unzertrennlich waren, sich heute in zwei gegnerischen Lagern wiederfinden?
					",2020-10-16T11:53:09+0200,https://www.faz.net/suche/politische-lager-in-den-usa-mein-bruder-waehlt-donald-trump-17003575.html,true
8,"
							Das letzte Hurra des Nils Politt
			        ","
						Für Nils Politt verlief die Saison bislang verkorkst. Bei der Frankreich-Rundfahrt versuchte der Rheinländer es verzweifelt in Ausreißergruppen – ohne Erfolg. Paris–Roubaix fiel der Corona-Pandemie zum Opfer. Sein neues Highlight: die Flandern-Rundfahrt.
					",2020-10-16T11:49:44+0200,https://www.faz.net/premiumContent?contentId=1.7003669,false
9,"
							Niedergang in San Francisco, Intensivbetten in Deutschland
			        ","
						Mit unserem Angebot F+ erhalten Sie jetzt für nur 1 Euro in der Woche Zugriff auf alle exklusiven Beiträge auf FAZ.NET. Unter anderem auf diese beliebtesten Stücke der ganzen Woche.
					",2020-10-16T11:42:19+0200,https://www.faz.net/premiumContent?contentId=1.7004797,false
