,url,original_headline,headline,date_published,channel,newspaper,vaccine,is_paid,corona_score
1796,https://www.spiegel.de/wissenschaft/medizin/corona-moeglicher-durchbruch-mit-medikament-remdesivir-a-52c07b75-4594-4b84-bfa9-877bfdf6dcbe,wirkstoff remdesivir möglicher durchbruch bei coronamedikament,wirkstoff remdesivir möglich durchbruch coronamedikament,2020-04-17,Wissenschaft,Der Spiegel,wirkstoff,,1.0
5338,https://www.spiegel.de/wissenschaft/medizin/coronavirus-biontech-startet-internationale-impf-studie-mit-bis-zu-30-000-menschen-a-0bfdcf13-cd31-4d57-8b83-82eaa69700b5,biontech mainzer unternehmen startet internationale impfstudie mit bis zu 30000 menschen,biontech mainzer unternehmen starten internationale impfstudie 30000 menschen,2020-07-28,Wissenschaft,Der Spiegel,biontech,,1.0
6077,https://www.spiegel.de/wirtschaft/unternehmen/coronavirus-kleine-biotech-firmen-sind-jetzt-mehr-wert-als-die-lufthansa-a-23a4d845-b503-48d2-be1e-635ef9ebd96e,curevac impfstoffhersteller ist jetzt doppelt soviel wert wie lufthansa,curevac impfstoffhersteller doppeln soviel wert lufthansa,2020-08-20,Wirtschaft,Der Spiegel,curevac,,1.0
6691,https://www.spiegel.de/wissenschaft/medizin/coronavirus-studie-mit-impfstoff-von-astrazeneca-gestoppt-was-das-bedeutet-a-756c63ac-6145-4612-9226-08277254ae4f,astrazeneca stoppt studien mit coronaimpfstoff der rückschlag,astrazeneca stoppen studien coronaimpfstoff rückschlag,2020-09-09,Wissenschaft,Der Spiegel,astrazeneca,,1.0
7549,https://www.spiegel.de/wissenschaft/medizin/coronavirus-impfstoff-eu-arzneibehoerde-startet-begutachtung-a-74278d9e-cde4-4914-b7c3-71ab229d4f73,biontech euarzneibehörde startet begutachtung von coronavirusimpfstoff,biontech euarzneibehörde starten begutachtung coronavirusimpfstoff,2020-10-06,Wissenschaft,Der Spiegel,biontech,,1.0
8796,https://www.spiegel.de/politik/ausland/coronavirus-eu-vertrag-fuer-corona-impfstoff-offenbar-ausgehandelt-a-ae45c793-e49d-420d-9197-5d1f54f24b3d,biontech und pfizer euvertrag für coronaimpfstoff ausgehandelt,biontech pfizer euvertrag coronaimpfstoff aushandeln,2020-11-10,Politik,Der Spiegel,biontech,,1.0
8821,https://www.spiegel.de/wissenschaft/medizin/coronavirus-nach-biontech-erfolg-wo-die-weltweite-impfstoffsuche-steht-a-3876449c-0459-4d1d-abf5-69f9f859fe97,biontech und co wo die welt im impfstoffrennen steht,biontech co welt impfstoffrennen stehen,2020-11-11,Wissenschaft,Der Spiegel,biontech,,1.0
9187,https://www.spiegel.de/wissenschaft/medizin/corona-impfstoff-von-astrazeneca-welche-vorteile-er-trotz-geringerer-wirksamkeit-haette-a-53d9ecf5-b737-4b20-b290-c40925462765,astrazeneca und uni oxford der impfstoff für pragmatiker,astrazeneca uni oxford impfstoff pragmatiker,2020-11-23,Wissenschaft,Der Spiegel,astrazeneca,,1.0
9921,https://www.spiegel.de/politik/deutschland/corona-pandemie-impfungen-in-deutschland-sollen-am-27-dezember-starten-a-ca3ad51a-8452-46b8-8075-ec785e0ffd75,mit biontech/pfizervakzine impfungen in deutschland sollen am 27 dezember starten,biontech / pfizervakzine impfungen deutschland sollen 27 dezember starten,2020-12-16,Politik,Der Spiegel,biontech,,1.0
9951,https://www.spiegel.de/wissenschaft/medizin/eu-behoerde-beschleunigt-zulassung-von-moderna-impfstoff-a-0401285e-a62a-425b-9f35-b27b7772458a,moderna eubehörde beschleunigt zulassung von usimpfstoff,moderna eubehörde beschleunigen zulassung usimpfstoff,2020-12-17,Wissenschaft,Der Spiegel,moderna,,1.0
