,title,release_date,snippet,teaser_text,teaser_title,href
0,Pfizer rechnet mit Corona-Impfstoff zuerst für westliche Länder,2020-05-28T17:28:17Z," derzeit knapp ein Dutzend Wirkstoffe in klinischen Studien geprüft werden. Das britisch-schwedische Unternehmen <em>AstraZeneca</em> hofft, sein Produkt Ende des Jahres auf den Markt bringen zu können, sagte","Noch gibt es keinen Impfstoff gegen Sars-CoV-2. Doch der US-Pharmakonzern ist sich sicher, wer ihn zuerst erhalten wird – und verweist auf bestehende Technologien.",Pfizer rechnet mit Corona-Impfstoff zuerst für westliche Länder,http://www.zeit.de/wissen/gesundheit/2020-05/pfizer-corona-impfstoff-westliche-laender
1,EU-Länder sichern sich Impfstoff-Lieferungen,2020-06-13T15:38:35Z," der Impfstoff einsatzbereit sei, solle der Konzern <em>AstraZeneca</em> 300 Millionen Dosen davon liefern, teilte das Bundesgesundheitsministerium mit. Die Entwicklung des Impfstoffs könnte bis Jahresende","Sobald ein Impfstoff einsatzbereit ist, soll die EU 300 Millionen Dosen erhalten. Das haben Deutschland und drei weitere EU-Länder mit dem Konzern AstraZeneca vereinbart.",EU-Länder sichern sich Impfstoff-Lieferungen,http://www.zeit.de/wissen/gesundheit/2020-06/impfstoff-gegen-covid-19-impfdosen-vertrag-astrazeneca-coronavirus
2,Pharmakonzern Sanofi soll bei Corona-Impfallianz mitmachen,2020-06-16T14:40:40Z, dem Hersteller <em>AstraZeneca</em> einen Vertrag über mindestens 300 Millionen Impfdosen gegen das Coronavirus geschlossen. Die Entwicklung eines Impfstoffs könnte im günstigen Fall schon Ende des Jahres,"Frankreich will bei Impfstoffen unabhängig werden. Präsident Emmanuel Macron kündigte deswegen an, Sanofi für die Sars-CoV-2-Impfallianz wichtiger EU-Länder zu gewinnen.",Pharmakonzern Sanofi soll bei Corona-Impfallianz mitmachen,http://www.zeit.de/wirtschaft/2020-06/frankreich-corona-impfstoff-allianz-pharmakonzern-sanofi-emmanuel-macron
3,Bundesregierung beteiligt sich an Impfstoffhersteller CureVac,2020-06-15T11:10:19Z," Bundesgesundheitsministeriums jedoch bereits einen ersten Vertrag über mindestens 300 Millionen Impfdosen geschlossen. Vertragspartner ist das Pharmaunternehmen <em>AstraZeneca</em>. Profitieren sollen demnach alle EU-Staaten, die dabei","Das Tübinger Unternehmen bekommt Unterstützung vom Staat: Der Bund steigt mit 300 Millionen Euro ein. Auf das Geschäft, so hieß es, wolle man keinen Einfluss nehmen.",Bundesregierung beteiligt sich an Impfstoffhersteller CureVac,http://www.zeit.de/wirtschaft/unternehmen/2020-06/corona-impfstoff-curevac-bundeswirtschaftsministerium
4,Das Testlabor der ganzen Welt,2020-07-22T14:51:29Z," Universität Oxford und dem Firmenverbund <em>AstraZeneca</em>; zweitens bekommt ein Teil der Probanden ohnehin zu Kontrollzwecken ein Placebo gespritzt. De Alemeida weiß also nicht, ob sie überhaupt einen Wirkstoff",Nirgendwo sind mehr Impfstoffversuche geplant als in Brasilien. Bürger und Politikerinnen erhoffen sich davon die letzte Rettung. Die Opferzahlen dort sind dramatisch.,Das Testlabor der ganzen Welt,http://www.zeit.de/2020/31/coronavirus-brasilien-impfstoff-versuche-forschung
5,Die Welt-Impfung,2020-07-22T14:51:10Z," dem General der U. S. Army Gustav Perna geleitet wird. Die beiden wollten gleich mehrere Pharmakonzerne ins Boot holen, <em>AstraZeneca</em> (das mit der Universität Oxford zusammenarbeitet), Pfizer (das mit",Weltweit erproben Forscher Impfstoffkandidaten gegen das Coronavirus. Es geht um Menschenleben und die Rückkehr zur Normalität – aber auch um Geld und Einfluss.,Das Warten auf die rettende Impfung,http://www.zeit.de/2020/31/coronavirus-impstoff-versuche-brasilien
6,Mehrere Corona-Impfstoffe liefern positive Ergebnisse,2020-07-20T15:57:09Z," und führten zu einer Immunisierung gegen die Lungenkrankheit.
Einer der Impfstoffe wurde von der Universität Oxford in Zusammenarbeit mit dem Pharmaunternehmen <em>AstraZeneca</em> entwickelt. Der Stoff habe",Laut einem Medienbericht zeigen gleich zwei Corona-Impfstoffe positive Testergebnisse. Der von der Oxford-Universität entwickelte Impfstoff könnte sogar zweifach wirken.,Mehrere Corona-Impfstoffe liefern positive Ergebnisse,http://www.zeit.de/wissen/gesundheit/2020-07/coronavirus-impfstoff-the-lancet-forschung-grossbritannien-china
7,So weit ist die Forschung an der Corona-Impfung,2020-07-20T11:06:04Z," Infektionsraten"", sagte Klaus Cichutek, Präsident des für Impfstoffe bundesweit zuständigen Paul-Ehrlich-Instituts (PEI).
Besonders weit sind das britische Pharmaunternehmen <em>AstraZeneca</em> und die Universität Oxford","Dass es bis Mitte 2021 erste Impfungen gegen Covid-19 gibt, hält die WHO für machbar. Es werden wohl mehrere marktreif – doch keiner wird die Pandemie ganz stoppen.",So weit ist die Forschung an der Corona-Impfung,http://www.zeit.de/wissen/gesundheit/2020-07/impfstoff-covid-19-antikoerper-infektionsschutz
8,"""Meine Patienten leben in Angst""",2020-07-27T18:33:23Z," Placebo.
Entwickelt wird der Stoff, der, wenn alles gut läuft, Menschen gegen das Virus immunisieren soll, an der britischen Oxford-Universität und vom Pharmakonzern <em>AstraZeneca</em>. In Brasilien läuft damit",Brasilien ist ein wichtiges Testlabor für die diversen Corona-Impfstoffe aus aller Welt. Eine Ärztin aus den Favelas in Rio hat sich freiwillig als Probandin gemeldet.,"""Meine Patienten leben in Angst""",http://www.zeit.de/wissen/gesundheit/2020-07/coronavirus-brasilien-impfstoff-test-medikamente
9,Hoffen auf AZD1222,2020-08-13T11:20:55Z," Immunologe Pollard ist Mitglied der Oxford Vaccine Group. Die Universität Oxford hat gemeinsam mit dem Pharmaunternehmen <em>AstraZeneca</em> den Impfstoff AZD1222 entwickelt, der nun getestet werden soll. Das Mittel","In Südafrika schien Corona unter Kontrolle, inzwischen hat es die meisten registrierten Covid-Fälle in Afrika. Nun soll ein Impfstoff helfen, eine erste Testreihe läuft.",Hoffen auf AZD1222,http://www.zeit.de/politik/ausland/2020-08/suedafrika-coronavirus-afrika-impfstoff-testreihe-universitaet-johannesburg
