,title,release_date,snippet,teaser_text,teaser_title,href
0,Warten auf Heilung,2020-03-18T16:01:00Z, Impfstoff Versäumtes nachzuholen. <em>BioNTech</em> aus Mainz arbeitet mit dem US-Pharmariesen Pfizer zusammen. GSK aus London mit dem chinesischen Impfstoffentwickler Clover. Auch GeoVax aus Atlanta setzt auf,"Während Covid-19 wütet, suchen Forschende weltweit nach Mitteln gegen das neue Virus. Lesen Sie noch einmal über die Fortschritte mit alten Mitteln und neuen Impfstoffen.",Kein Mittel und doch Hoffnung,http://www.zeit.de/2020/13/coronavirus-covid-19-impfstoff-medikament-forschung-pharmaindustrie
1,Die Weltenretter,2020-03-25T15:53:04Z," Medikamenten-Entwicklers <em>Biontech</em> suchen die Forscher nach einem Impfstoff gegen Sars-CoV-2.
Und es sind Menschen wie Ugur Sahin, auf denen die Hoffnung der Welt ruht. Der Chef und Gründer des Unternehmens","Überall arbeiten Pharmafirmen an einem Mittel gegen das Coronavirus. Dabei entstehen nie gekannte Allianzen, denn es funktioniert aktuell nur mit weltweiter Kooperation.",Die Weltenretter,http://www.zeit.de/2020/14/impfstoff-sars-cov-2-pharmakonzerne-gates-stiftung-wissenschaft
2,Die wichtigsten Corona-Nachrichten vom Mittwoch,2020-04-22T15:17:50Z,"-Institut, mitteilte, erhält das Mainzer Unternehmen <em>BioNTech</em> die entsprechende Genehmigung.
Laut <em>BioNTech</em> soll es Tests an rund 200 gesunden Freiwilligen zwischen 18 und 55 Jahren geben. Das Unternehmen","In Deutschland ist die erste Zulassung für eine klinische Prüfung eines Impfstoffs erteilt, Bremen zieht bei der Maskenpflicht nach. Die News des Tages zu Covid-19",Die wichtigsten Corona-Nachrichten vom Mittwoch,http://www.zeit.de/gesellschaft/zeitgeschehen/2020-04/covid-19-aktuell-coronavirus-nachrichten-am-dienstag-22-04-2020
3,Update: Ein großer Schritt auf der Suche nach Impfstoffen,2020-04-22T14:50:04Z," <em>Biontech</em> darf ab April an Menschen getestet werden. Ein Durchbruch? Wissensredakteurin Alisa Schröter ordnet diese Nachricht im Podcast ein.
Je länger die Kontaktbeschränkungen gelten und es geboten ist, zu",Das Paul-Ehrlich-Institut hat die erste zugelassene klinische Studie für einen Corona-Impfstoff in Deutschland vorgestellt. Im Podcast-Update ordnen wir sie ein.,Update: Ein großer Schritt auf der Suche nach Impfstoffen,http://www.zeit.de/politik/2020-04/corona-krise-impfstoff-haeusliche-gewalt-maskenpflicht-jens-spahn-nachrichtenpodcast
4,Erste klinische Studie zu Corona-Impfstoff zugelassen,2020-04-22T12:46:27Z,Erstmals darf in Deutschland ein Impfstoff gegen das neuartige Coronavirus am Menschen getestet werden. Das Paul-Ehrlich-Institut (PEI) hat dem Mainzer Unternehmen <em>BioNTech</em> nach eigenen Angaben eine,"In Deutschland ist zum ersten Mal eine klinische Studie zu einem Corona-Wirkstoff genehmigt worden. Dass er in diesem Jahr zum Einsatz kommt, ist aber unwahrscheinlich.",Erste klinische Studie zu Corona-Impfstoff zugelassen,http://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-impfstoff-klinische-studie
5,Wer profitiert vom Impfstoff?,2020-05-18T09:45:57Z," Zulassung erhält.
Auch <em>Biontech</em> aus Mainz baut bereits nach den ersten Versuchen an Probanden mit seinem Impfstoffprogramm BNT 162 Produktionsanlagen aus, akquiriert zusätzliches Personal, dazu Grundstoffe","Wenn sich heute die WHO-Länder treffen, streiten sie auch um die Frage, wie ein Corona-Impfstoff fair verteilt werden kann. Die USA stellen sich dabei gegen Europa.",Wer profitiert vom Impfstoff?,http://www.zeit.de/wirtschaft/2020-05/impfstoff-coronavirus-who-curevac-patent-medikamente
6,Im Team gegen Corona,2020-06-03T14:56:16Z,"Es geht um nicht weniger als darum, die Welt vom Virus zu befreien – so schnell wie nur irgend möglich. Projekt ""Lichtgeschwindigkeit"", so haben sie es genannt. Das Unternehmen <em>BioNTech</em> aus Mainz ist","Der eine holt das Geld rein, der andere gibt es wieder aus: So arbeitet ein Team aus Forscherinnen, Vorstand und Planern zusammen an einem Impfstoff gegen Covid-19.",Im Team gegen Corona,http://www.zeit.de/2020/24/biontech-pharmaindustrie-impfstoff-forschung-coronavirus-biotech-unternehmen
7,CureVac darf möglichen Corona-Impfstoff klinisch testen,2020-06-17T09:55:32Z," <em>Biontech</em> die Genehmigung erhalten, seinen Wirkstoff an gesunden Freiwilligen zu testen. Daneben genehmigte das PEI im April und Mai klinische Studien mit dem Blutplasma von genesenen Corona-Infizierten als",Das Tübinger Unternehmen kann seinen Impfstoffkandidaten nun an Freiwilligen überprüfen. Es ist die zweite deutsche Firma mit einer entsprechenden Zulassung.,CureVac darf möglichen Corona-Impfstoff klinisch testen,http://www.zeit.de/wissen/gesundheit/2020-06/curevac-biotech-unternehmen-corona-impfstoff
8,Bundesregierung beteiligt sich an Impfstoffhersteller CureVac,2020-06-15T11:10:19Z," Mai mehr als 120 Impfstoffprojekte – von kleinen Firmen wie <em>BioNTech</em> aus Mainz oder CureVac in Tübingen bis zu Konzernen wie Sanofi und GlaxoSmithKline.
CureVac setzt bei seinen Forschungsarbeiten – wie","Das Tübinger Unternehmen bekommt Unterstützung vom Staat: Der Bund steigt mit 300 Millionen Euro ein. Auf das Geschäft, so hieß es, wolle man keinen Einfluss nehmen.",Bundesregierung beteiligt sich an Impfstoffhersteller CureVac,http://www.zeit.de/wirtschaft/unternehmen/2020-06/corona-impfstoff-curevac-bundeswirtschaftsministerium
9,"Kleine Spritze, große Hoffnung",2020-07-11T14:13:55Z," Konkurrenten <em>BionTech</em> aus Mainz ist es erst die zweite klinische Studie in Deutschland und der EU*. 
Weil die Entwicklung eines Impfstoffes so wichtig ist, ist im Juni der deutsche Staat bei CureVac eingestiegen",In Tübingen läuft eine der ersten klinischen Corona-Impfstoffstudien. Es geht um den Erfolg des Unternehmens CureVac und die Zukunft einer ganzen Technologie.,"Kleine Spritze, große Hoffnung",http://www.zeit.de/wissen/gesundheit/2020-07/corona-impfstoff-studie-curevac-tuebingen
