,title,release_date,snippet,teaser_text,teaser_title,href
0,Pfizer rechnet mit Corona-Impfstoff zuerst für westliche Länder,2020-05-28T17:28:17Z,", Forschungschef des Gesundheitskonzerns <em>Johnson</em> & <em>Johnson</em>. Der Preis einer Impfdosis werde voraussichtlich nur wenige Dollar betragen, sagte AstraZeneca-Chef Soriot.","Noch gibt es keinen Impfstoff gegen Sars-CoV-2. Doch der US-Pharmakonzern ist sich sicher, wer ihn zuerst erhalten wird – und verweist auf bestehende Technologien.",Pfizer rechnet mit Corona-Impfstoff zuerst für westliche Länder,http://www.zeit.de/wissen/gesundheit/2020-05/pfizer-corona-impfstoff-westliche-laender
1,L'Oréal verzichtet auf Werbung für Hautaufheller,2020-06-28T13:46:48Z,"Nach Unilever und <em>Johnson</em> & <em>Johnson</em> will auch der weltweit größte Kosmetikkonzern L'Oréal auf Produktbezeichnungen verzichten, die helle Haut als Schönheitsideal propagieren. In einer knappen",Jahrzehntelang verdiente der Kosmetikkonzern im globalen Süden an Versprechen von heller Haut. Nun will der Konzern ein vielfältiges Schönheitsideal anstreben.,L'Oréal verzichtet auf Werbung für Hautaufheller,http://www.zeit.de/gesellschaft/2020-06/rassismusdebatte-loreal-verzicht-begriffe-hautpflege-produkte
2,Die Natur schaut nur zu,2020-07-15T14:58:57Z," aber selbst dort, wo die Motive kippen. Denn das Herz des Großvaters ist tatsächlich physisch kaputt. Er braucht die titelgebenden Klappen von <em>Johnson</em> & <em>Johnson</em>. Ein starkes Symbol für einen emotional","Unbeirrt eigensinnig, sprachlich beeindruckend: Valerie Fritsch erkundet in ihrem dritten Roman ""Herzklappen von Johnson & Johnson"" den Schmerz, den man nicht fühlt.",Abgründiges Staunen,http://www.zeit.de/2020/30/herzklappen-von-johnson-und-johnson-valerie-fritsch-roman
3,Die Welt-Impfung,2020-07-22T14:51:10Z," Ugur Sahins BioNTech kooperiert), <em>Johnson</em> & <em>Johnson</em>, Merck und die US-Firma Moderna. Im Gegenzug will sich die US-Regierung massenhaft Impfstoff sichern.
Doch die Rechnung ging nicht auf. Zwar versprach",Weltweit erproben Forscher Impfstoffkandidaten gegen das Coronavirus. Es geht um Menschenleben und die Rückkehr zur Normalität – aber auch um Geld und Einfluss.,Das Warten auf die rettende Impfung,http://www.zeit.de/2020/31/coronavirus-impstoff-versuche-brasilien
4,US-Behörde bereitet Protokoll für Infektionsstudien bei Gesunden vor,2020-08-15T13:01:15Z," 1DaySooner, die sich für Human Challenge Trials einsetzen. Auch einige Pharmaunternehmen, wie Astra Zeneca und und <em>Johnson</em> & <em>Johnson</em> sagten, sie würden über die Möglichkeit solcher Tests nachdenken.
Mediziner","Das staatliche Institut für Infektionskrankheiten forscht an einem Virusstamm, mit dem man Gesunde infizieren kann, um Impfstoffe zu testen. Ethisch ist das umstritten.",US-Behörde bereitet Protokoll für Infektionsstudien bei Gesunden vor,http://www.zeit.de/wissen/gesundheit/2020-08/corona-impfstoff-infektionsstudien-gesunde-us-behoerde
5,EU unterzeichnet Vereinbarung über potenziellen Corona-Impfstoff,2020-08-20T14:21:41Z,""", sagte EU-Kommissionschefin Ursula von der Leyen. Die Kommission hat schon ähnliche Gespräche mit den Konzernen Sanofi-GSK, <em>Johnson</em> & <em>Johnson</em> und AstraZeneca geführt und mit AstraZeneca bereits eine",Laut CureVac geht es um einen Vertrag über 225 Millionen Dosen mit Option auf 180 Millionen weitere. Die EU verhandelt für ihre Impfstrategie mit mehreren Herstellern.,EU unterzeichnet Vereinbarung über potenziellen Corona-Impfstoff,http://www.zeit.de/wissen/gesundheit/2020-08/curevac-coronavirus-impfstoff-eu-covid-19-europa
6,Diese Impfstoffe sind zugelassen oder stehen kurz davor,2020-08-18T11:20:25Z, Europäischen Union. Die mRNA-Vakzine des US-Unternehmens Moderna schaffte es nun als zweites. Die Vektor-Impfstoffe von Forschenden der University of Oxford und AstraZeneca und dem Pharmakonzern <em>Johnson</em>,"Derzeit sind vier Impfstoffe gegen Covid-19 in der EU zugelassen. Welche Kandidaten könnten folgen, wie wirken sie und was ist sonst über sie bekannt? Ein Überblick",Diese Impfstoffe sind zugelassen oder stehen kurz davor,http://www.zeit.de/wissen/gesundheit/2020-08/impfstoffentwicklung-corona-impfstoff-klinische-phasen-forschung
7,EU-Kommission will BioNTech 200 Millionen Impfdosen abnehmen,2020-09-09T11:49:49Z," Coronavirus. Die EU-Kommission schloss bereits einen Liefervertrag mit AstraZeneca, vorbereitende Sondierungsgespräche wurden außerdem bereits mit den Unternehmen Sanofi-GSK, <em>Johnson</em> & <em>Johnson</em>, CureVac und",Die Europäische Kommission hat sich mit BioNTech auf den Erwerb eines potenziellen Corona-Impfstoffs geeinigt. Die Auslieferung könnte schon Ende 2020 starten.,EU-Kommission will BioNTech 200 Millionen Impfdosen abnehmen,http://www.zeit.de/wirtschaft/2020-09/corona-impfstoff-eu-kommission-biontech-impfstoffdosen
8,AstraZeneca setzt Tests von Corona-Impfstoff aus,2020-09-08T23:50:26Z," Covid-19-Impfstoffe geprüft und letztlich zugelassen werden könnten"", hieß es laut den Unternehmenschefs. Die beteiligten Firmen waren neben AstraZeneca BioNTech, GlaxoSmithKline, <em>Johnson</em> & <em>Johnson</em>, Merck",Eine der wichtigsten Impfstoffstudien steht vor Problemen: Ein Proband ist erkrankt. Weitere Tests werden vorerst gestoppt. Der Aktienkurs des Herstellers bricht ein.,AstraZeneca setzt Tests von Corona-Impfstoff aus,http://www.zeit.de/wirtschaft/unternehmen/2020-09/pharmaindustrie-astrazeneca-coronavirus-impfstoff
9,Johnson & Johnson pausiert Studie zu Corona-Impfstoff,2020-10-13T09:28:02Z,"Der US-Pharmakonzern <em>Johnson</em> & <em>Johnson</em> hat seine Tests zu einem möglichen Corona-Impfstoff vorläufig ausgesetzt. Ein Teilnehmer sei aus ungeklärten Gründen krank geworden, teilte das Unternehmen mit","Der US-Pharmakonzern untersucht einen Krankheitsfall unter den Studienteilnehmern. Bislang sei ungeklärt, ob er ein Placebo oder den Impfstoff erhalten hat.",Johnson & Johnson pausiert Studie zu Corona-Impfstoff,http://www.zeit.de/wirtschaft/unternehmen/2020-10/impfstoff-coronavirus-johnson-und-johnson-unterbrechung-studie
