,title,release_date,snippet,teaser_text,teaser_title,href
0,Die Weltenretter,2020-03-25T15:53:04Z," Impfstoffentwicklern gehören neben Sahins Biontech auch das Tübinger Unternehmen CureVac und die US-Firma <em>Moderna</em>.
Es ist ein Wettlauf mit dem Virus. Das Ergebnis ist völlig offen. Weltweit arbeiteten bei","Überall arbeiten Pharmafirmen an einem Mittel gegen das Coronavirus. Dabei entstehen nie gekannte Allianzen, denn es funktioniert aktuell nur mit weltweiter Kooperation.",Die Weltenretter,http://www.zeit.de/2020/14/impfstoff-sars-cov-2-pharmakonzerne-gates-stiftung-wissenschaft
1,Wann kommt die Impfung?,2020-04-09T11:53:18Z," trägt den Namen mRNA-1273 und stammt vom US-Impfstoffentwickler <em>Moderna</em>, der ihn mit Hilfe des staatlichen US-Forschungsinstituts National Institute of Allergy and Infectious Diseases (NIAID) entwickelt",Eine oder zwei Spritzen und man wäre immun: Die ganze Welt wartet auf die lebensrettende Corona-Impfung. Aber es dauert noch. Das sind die Kandidaten im Rennen.,Wann kommt die Impfung?,http://www.zeit.de/wissen/gesundheit/2020-04/sars-cov-2-impfstoff-forschung-beschleunigung-coronavirus
2,Bundesregierung beteiligt sich an Impfstoffhersteller CureVac,2020-06-15T11:10:19Z, auch BioNTech und der US-Biotechkonzern <em>Moderna</em> – auf Impfstoffe auf Basis der sogenannten Boten-RNA (mRNA). Sie soll den menschlichen Zellen die Information zur Produktion von Proteinen und damit zur,"Das Tübinger Unternehmen bekommt Unterstützung vom Staat: Der Bund steigt mit 300 Millionen Euro ein. Auf das Geschäft, so hieß es, wolle man keinen Einfluss nehmen.",Bundesregierung beteiligt sich an Impfstoffhersteller CureVac,http://www.zeit.de/wirtschaft/unternehmen/2020-06/corona-impfstoff-curevac-bundeswirtschaftsministerium
3,"Kleine Spritze, große Hoffnung",2020-07-11T14:13:55Z, <em>Moderna</em> will laut der New York Times schon im Juli mit einer Phase-III-Studie beginnen. Das Mainzer Unternehmen BioNTech testet schon seit Wochen in Deutschland und den USA in einer Phase-I/II-Studie seinen,In Tübingen läuft eine der ersten klinischen Corona-Impfstoffstudien. Es geht um den Erfolg des Unternehmens CureVac und die Zukunft einer ganzen Technologie.,"Kleine Spritze, große Hoffnung",http://www.zeit.de/wissen/gesundheit/2020-07/corona-impfstoff-studie-curevac-tuebingen
4,US-Firma Moderna meldet ersten Impfstoff-Erfolg,2020-07-15T06:29:50Z,Ein experimenteller Coronavirus-Impfstoff der US-Biotechfirma <em>Moderna</em> zeigt einer Studie zufolge nach ersten Versuchen gute Ergebnisse. In der ersten Phase der klinischen Tests hätten alle Probanden,Die Biotechfirma will einen experimentellen Corona-Impfstoff an 30.000 Menschen testen. Tests an kleinen Gruppen hätten gute Ergebnisse ohne große Nebenwirkungen erzielt.,US-Firma Moderna meldet ersten Impfstoff-Erfolg,http://www.zeit.de/wissen/gesundheit/2020-07/coronavirus-impfstoff-moderna-studie-antikoerper
5,Die Welt-Impfung,2020-07-22T14:51:10Z,", staunte David Ricks, Chef des US-Pharmakonzerns Eli Lilly, im März. Auch Tal Zak, Gründer des amerikanischen Biotech-Unternehmens <em>Moderna</em>, erklärte, es gebe nur noch einen Wettbewerb: den gegen das Virus",Weltweit erproben Forscher Impfstoffkandidaten gegen das Coronavirus. Es geht um Menschenleben und die Rückkehr zur Normalität – aber auch um Geld und Einfluss.,Das Warten auf die rettende Impfung,http://www.zeit.de/2020/31/coronavirus-impstoff-versuche-brasilien
6,So weit ist die Forschung an der Corona-Impfung,2020-07-20T11:06:04Z," Gesundheitssektor starten. Sinovac setzt dabei auf abgetötete Coronaviren. Weitere Unternehmen wie der US-Hersteller <em>Moderna</em> stehen in den Startlöchern.
Das Ziel der verschiedenen Impfstoffe ist immer das gleiche","Dass es bis Mitte 2021 erste Impfungen gegen Covid-19 gibt, hält die WHO für machbar. Es werden wohl mehrere marktreif – doch keiner wird die Pandemie ganz stoppen.",So weit ist die Forschung an der Corona-Impfung,http://www.zeit.de/wissen/gesundheit/2020-07/impfstoff-covid-19-antikoerper-infektionsschutz
7,Sanofi und GSK erhalten von den USA Milliarden für Corona-Impfstoff,2020-07-31T15:48:22Z, in Washington auch ihre geplanten Investitionen in das Biotechunternehmen <em>Moderna</em> auf fast eine Milliarde Dollar erhöhen will.,Mit einem Milliardendeal hat die US-Regierung sich mögliche Corona-Impfdosen gesichert. Aber auch die EU-Kommisison hat beim Pharmakonzern Sanofi Impfdosen reserviert.,Sanofi und GSK erhalten von den USA Milliarden für Corona-Impfstoff,http://www.zeit.de/wissen/gesundheit/2020-07/coronavirus-impfstoff-entwicklung-lieferung-usa-sanofi-glaxosmithkline-pharmaindustrie
8,US-Impfstoff geht in entscheidende Testphase,2020-07-27T22:26:39Z," Impfstoffkandidaten der US-Biotech-Firma <em>Moderna</em> habe begonnen, teilte die zuständige Gesundheitsbehörde NIH mit. Die erste Testimpfung eines Patienten in der Stadt Savannah in Georgia sei ein ""historisches Ereignis","Die US-Regierung macht Hoffnung, dass schon in wenigen Monaten ein Corona-Impfstoff auf den Markt kommen könnte. Dazu hat eine Studie mit 30.000 Probanden begonnen.",US-Impfstoff geht in entscheidende Testphase,http://www.zeit.de/wissen/gesundheit/2020-07/covid-19-us-impfstoff-klinische-testphase
9,US-Behörde bereitet Protokoll für Infektionsstudien bei Gesunden vor,2020-08-15T13:01:15Z," wie David Diemert von der George-Washington-Universität, der einen Corona-Impfstoff-Test des Pharmaunternehmens <em>Moderna</em> überwacht, sind allerdings skeptisch. Bei Covid-19 ""haben wir kein sehr klares","Das staatliche Institut für Infektionskrankheiten forscht an einem Virusstamm, mit dem man Gesunde infizieren kann, um Impfstoffe zu testen. Ethisch ist das umstritten.",US-Behörde bereitet Protokoll für Infektionsstudien bei Gesunden vor,http://www.zeit.de/wissen/gesundheit/2020-08/corona-impfstoff-infektionsstudien-gesunde-us-behoerde
